team,classification,district,games_played,starting_year,starting_off,starting_def,starting_ovr,final_off,final_def,final_ovr
Jefferson City,5,5,3,2025,2.09,6.26,8.35,5.163001709829138,1.9470774675241607,7.110079177353299
Hazelwood East,5,3,3,2025,6.88,12.74,19.62,-1.91237321380696,8.565547470872206,6.6531742570652455
Monroe City,2,7,3,2025,15.35,5.27,20.62,2.688620594098722,3.482921018756563,6.171541612855285
St. Francis Borgia,3,4,3,2025,0.34,4.55,4.89,1.188763828585891,4.809133334404997,5.997897162990888
North Callaway,2,5,3,2025,4.59,-0.74,3.84,7.876205507230547,-2.0564078596835516,5.819797647546995
Sullivan,4,2,3,2025,-6.25,3.41,-2.84,0.08177223827901468,5.56833765761672,5.650109895895734
Palmyra,2,7,3,2025,3.03,0.93,3.96,4.909095679887827,0.6498950279932271,5.558990707881054
Southern Boone,3,4,3,2025,-10.49,3.55,-6.93,-1.8956841682058192,7.316995318801446,5.421311150595627
Smith-Cotton,5,7,3,2025,-0.54,9.21,8.67,-0.2853642912373725,5.007644405835286,4.722280114597914
Richmond,3,8,3,2025,0.34,-0.29,0.05,4.027827060032603,0.17762821524422062,4.205455275276824
Caruthersville,2,1,1,2025,2.52,0.49,3.01,5.622557545812057,-1.4852297703955373,4.13732777541652
Poplar Bluff,5,1,3,2025,-2.52,5.41,2.88,-0.46318518318853646,4.343875833283561,3.8806906500950245
Sikeston,4,1,3,2025,3.05,-7.74,-4.68,2.3759430826588224,0.898671044762656,3.2746141274214784
Clever,2,4,2,2025,-6.93,4.16,-2.76,-5.763427602321929,8.683022759624922,2.919595157302993
Francis Howell Central,6,4,3,2025,2.95,0.18,3.13,-2.2471431970233,3.822671657118806,1.5755284600955064
St. Clair,3,2,3,2025,3.76,-2.14,1.62,0.45986925146693225,1.034634622301648,1.4945038737685803
Dexter,3,1,3,2025,3.7,10.31,14.01,-3.458897313905058,4.8140917992531325,1.3551944853480746
Salisbury,1,7,3,2025,1.25,4.66,5.91,-1.3692648919693429,2.4676437985263346,1.0983789065569918
Union,4,2,3,2025,-7.72,5.02,-2.7,-3.7792109344943117,4.835787491768311,1.0565765572739996
Chillicothe,3,8,3,2025,-7.67,4.66,-3.01,-5.3366154522871225,6.344482420001298,1.0078669677141754
Rolla,5,5,2,2025,3.67,7.07,10.74,2.5655851754149563,-1.6971644387965223,0.868420736618434
Raytown South,4,7,3,2025,-9.57,0.6,-8.97,-4.888208981181929,5.705887099135437,0.8176781179535082
North Point,5,4,3,2025,5.73,0.66,6.39,6.412505610038781,-5.657144003404691,0.7553616066340894
Marionville,1,3,3,2025,6.16,7.51,13.67,-2.0682854949496816,2.7696211107785094,0.7013356158288278
Kirksville,4,5,3,2025,-5.3,9.25,3.95,-5.51754097016608,6.199788904628129,0.6822479344620485
East Newton,2,4,2,2025,-5.01,1.73,-3.28,-2.5739728197460736,3.1177642700885473,0.5437914503424737
Marshfield,4,6,3,2025,-6.14,-0.21,-6.35,-1.1776389348929999,1.600005593112288,0.4223666582192882
West Platte,2,8,2,2025,-3.2,0.72,-2.48,-6.258536261574873,5.47177338833312,-0.7867628732417531
Warsaw,2,4,2,2025,-2.42,9.53,7.11,-3.9835526140509923,2.7386418860469903,-1.244910728004002
Ft. Zumwalt East,5,4,2,2025,-5.01,-2.71,-7.72,-1.3574117891822737,-0.16520412418369126,-1.522615913365965
Pembroke Hill,3,7,2,2025,-10.12,-6.14,-16.26,-2.3694383111319004,0.8272865553839687,-1.5421517557479318
Lincoln College Prep,5,8,1,2025,-3.3,7.21,3.92,-6.018591729384037,4.420578001219183,-1.5980137281648545
Springfield Catholic,2,3,2,2025,0.68,-4.5,-3.82,0.6382037066910846,-2.2780947828825795,-1.6398910761914949
North County,4,1,3,2025,-2.85,4.54,1.69,-2.4727508164530607,0.4405522669654387,-2.032198549487622
Osage,4,5,3,2025,3.94,6.39,10.33,-1.189508190602849,-0.916619999444191,-2.1061281900470403
Potosi,3,2,3,2025,2.46,-3.53,-1.07,-2.545167961388154,-0.17856990515128926,-2.7237378665394436
Cameron,3,8,3,2025,1.75,1.13,2.88,0.11084267837756125,-3.0687847500509635,-2.9579420716734024
Warrenton,4,4,3,2025,-6.03,2.62,-3.41,-7.174699331387924,4.021890387065686,-3.1528089443222376
Center,3,7,3,2025,-9.79,-17.31,-27.09,-1.0489066213331388,-2.3467072926002923,-3.395613913933431
Lawson,2,8,3,2025,6.56,-4.55,2.01,1.444069446199134,-4.911173873745048,-3.4671044275459137
Brookfield,2,8,3,2025,-7.4,-3.38,-10.78,-4.305346536310667,0.34803201976952003,-3.957314516541147
DeSoto,4,1,3,2025,-7.26,2.05,-5.2,-3.304208321850048,-0.9019725055903379,-4.206180827440386
Forsyth,2,3,3,2025,7.35,-6.56,0.79,0.3863123160842216,-4.703253994804758,-4.316941678720537
Ava,2,3,3,2025,6.51,-5.27,1.24,-2.7348454960301387,-1.6098469122095378,-4.344692408239677
Westminster Christian Academy,4,2,3,2025,-12.68,-2.46,-15.14,-7.382181143795013,2.858082438092916,-4.524098705702097
Van Horn,4,8,3,2025,-0.67,1.92,1.25,-5.202296985864266,0.5878227581412637,-4.614474227723003
Holt,4,4,3,2025,-1.07,-1.8,-2.86,5.235975438065558,-9.988038670109859,-4.752063232044301
Willard,5,6,3,2025,3.32,-1.43,1.89,0.0792222946306458,-4.924698494085246,-4.8454761994546
Clinton,3,7,2,2025,-0.23,6.35,6.12,-5.1029541308596515,0.10821583303661823,-4.994738297823034
Washington,5,2,3,2025,-4.47,-1.76,-6.23,-4.124140241866743,-0.8960447295617174,-5.020184971428461
Putnam County,1,8,2,2025,1.71,4.05,5.76,-5.431488943391899,0.2139273839777112,-5.217561559414188
Summit Christian Academy,3,7,1,2025,-1.55,-5.69,-7.24,-0.6027904255845229,-4.859766325625069,-5.462556751209592
Macon,3,8,3,2025,-10.98,0.24,-10.74,-8.70135458615128,1.8228285618509317,-6.878526024300349
Oak Grove,3,7,2,2025,-10.86,2.79,-8.07,-9.958275737248492,2.9502818026204793,-7.007993934628013
St. Charles West,4,4,2,2025,-0.18,-13.64,-13.82,1.8502771754403007,-9.01218140144869,-7.161904226008389
Pierce City,1,3,2,2025,-5.87,-17.64,-23.51,-0.33584000476810466,-8.137769801720408,-8.473609806488513
Hallsville,3,4,3,2025,-4.2,-12.69,-16.89,1.453576902579797,-9.93186657364598,-8.478289671066182
Aurora,3,6,3,2025,-1.14,-6.54,-7.67,-3.4032172552848725,-5.137757744004026,-8.540974999288899
Jennings,4,3,3,2025,-0.68,-3.71,-4.39,-4.315152030654832,-4.319411674039806,-8.634563704694639
Central (Park Hills),3,2,3,2025,-3.76,-0.53,-4.29,-7.606350547908918,-1.1763447759706596,-8.782695323879578
Miller,1,3,3,2025,-9.28,-5.84,-15.13,-7.88318848220769,-1.742995250625393,-9.626183732833084
Russellville,1,4,3,2025,-6.34,-8.61,-14.95,-5.1796210130357325,-5.392674444816947,-10.572295457852679
Pacific,4,2,3,2025,-2.54,-6.26,-8.8,-3.083314531874437,-7.565806549392305,-10.649121081266742
Holden,2,6,2,2025,-0.76,3.14,2.38,-7.044556421552444,-3.6103787921176016,-10.654935213670045
Benton,4,8,3,2025,-8.28,-6.67,-14.95,-5.102328140887737,-5.718149268823214,-10.82047740971095
South Callaway,2,5,3,2025,-14.44,-2.54,-16.97,-9.474492282453596,-1.9463849362555747,-11.42087721870917
Parkview,5,6,2,2025,-8.12,11.33,3.21,-15.181029086611105,3.7220037001688717,-11.459025386442233
McCluer North,5,3,3,2025,-10.7,-2.6,-13.3,-12.477258557589728,0.8708647199289833,-11.606393837660745
Hillcrest,4,6,2,2025,-12.92,-5.98,-18.9,-4.998217108208165,-6.903191776082276,-11.90140888429044
Skyline,1,4,3,2025,-10.11,-16.19,-26.29,-4.0808788026504255,-7.853858857384599,-11.934737660035024
McCluer,5,3,2,2025,-5.3,-4.08,-9.38,-8.422874938871303,-3.874479845330037,-12.297354784201339
Hayti,1,1,2,2025,-0.45,-13.55,-14.0,0.25009355875775335,-12.550679424154898,-12.300585865397146
Webster Groves,5,2,2,2025,0.97,-8.73,-7.76,-3.5141905288786175,-8.856371837908197,-12.370562366786814
Kennett,3,1,3,2025,-4.5,-9.86,-14.36,-2.6772669556136837,-10.55848454740781,-13.235751503021493
Excelsior Springs,4,8,3,2025,-10.06,-3.55,-13.62,-8.437878606506374,-5.088311866337178,-13.526190472843552
Houston,2,3,3,2025,-0.41,-9.69,-10.1,-2.9623866731314528,-11.18759266270175,-14.149979335833203
