date,team1,score1,team2,score2,forfeit,overtime
2026-09-18,Veritas Christian Academy,,Grandview (Hillsboro),,False,False
2026-09-18,Boonville,,Hallsville,,False,False
2026-09-18,Kirksville,,Hannibal,,False,False
2026-09-18,Salisbury,,Harrisburg,,False,False
2026-09-18,Center,,Harrisonville,,False,False
2026-09-18,Portageville,,Hayti,,False,False
2026-09-18,Ritenour,,Hazelwood East,,False,False
2026-09-18,Centralia,,Hermann,,False,False
2026-09-18,Battle,,Hickman,,False,False
2026-09-18,South Shelby,,Highland,,False,False
2026-09-18,North County,,Hillsboro,,False,False
2026-09-18,Buffalo,,Hollister,,False,False
2026-09-18,Cabool,,Houston,,False,False
2026-09-18,St. Mary's South Side,,Jackson,,False,False
2026-09-18,Cuba with Steelville,,Jefferson (Festus),,False,False
2026-09-18,Smith-Cotton,,Jefferson City,,False,False
2026-09-18,University City,,Jennings,,False,False
2026-09-18,Waynesville,,Joplin,,False,False
2026-09-18,Kelly,,Kennett,,False,False
2026-09-18,Marquette,,Kirkwood,,False,False
2026-09-18,Monett,,Knob Noster with Leeton,,False,False
2026-09-18,Fox,,Ladue Horton Watkins,,False,False
2026-09-18,Lindbergh,,Lafayette (Wildwood),,False,False
2026-09-18,Lone Jack with Kingsville,,Lafayette County,,False,False
2026-09-18,East Newton,,Lamar,,False,False
2026-09-18,East Buchanan,,Lawson,,False,False
2026-09-18,Lee's Summit,,Lee's Summit North,,False,False
2026-09-18,Francis Howell North,,Liberty (Wentzville),,False,False
2026-09-18,Wright City,,Louisiana,,False,False
2026-09-18,Lift for Life Academy Charter,,Lutheran St. Charles,,False,False
2026-09-18,Palmyra,,Macon,,False,False
2026-09-18,Caruthersville,,Malden,,False,False
2026-09-18,Maysville,,Marceline,,False,False
2026-09-18,Van-Far,,Mark Twain,,False,False
2026-09-18,Cassville,,McDonald County,,False,False
2026-09-18,Northwest (Cedar Hill),,Mehlville,,False,False
2026-09-18,Marshall,,Mexico,,False,False
2026-09-18,Plattsburg,,Mid-Buchanan,,False,False
2026-09-18,Linn,,Miller Career Academy with Sumner,,False,False
2026-09-18,Warrensburg,,Moberly,,False,False
