class,district,rank,team,total_points,wins,losses,games_played,games_counted_in_sos,avg_win_loss,avg_class_bonus,avg_differential,sos_term
4,6,1,Logan-Rogersville,50.0455,4,0,4,4,20.0,2.5,13.0,14.5455
4,6,2,Bolivar,42.2045,3,1,4,4,17.5,2.5,6.75,15.4545
4,6,3,Carl Junction,34.3333,2,2,4,4,15.0,0.0,1.0,18.3333
4,6,4,Monett,30.5833,2,2,4,4,15.0,0.0,-0.25,15.8333
4,6,5,Hillcrest,28.5833,1,2,3,3,13.3333,3.3333,-4.3333,16.25
4,6,6,Marshfield,25.3333,1,3,4,4,12.5,2.5,-3.0,13.3333
4,6,7,McDonald County,22.5833,1,3,4,4,12.5,0.0,-5.75,15.8333
4,7,1,Raytown South,44.9167,2,2,4,4,15.0,10.0,5.75,14.1667
4,7,2,Odessa,41.5,3,1,4,4,17.5,0.0,9.0,15.0
4,7,3,Central (Kansas City),38.7955,3,1,4,4,17.5,2.5,4.25,14.5455
4,7,4,Pleasant Hill,32.5,2,2,4,4,15.0,0.0,0.0,17.5
4,7,5,Harrisonville,30.4167,2,2,4,4,15.0,0.0,-1.25,16.6667
4,7,6,University Academy Charter with Ewing Marion Kauffman,23.5,1,3,4,4,12.5,2.5,-4.0,12.5
4,7,7,East (Kansas City),10.0,0,4,4,4,10.0,0.0,-13.0,13.0
4,8,1,Kearney,57.8333,4,0,4,4,20.0,10.0,12.0,15.8333
4,8,2,Savannah,47.0,4,0,4,4,20.0,0.0,13.0,14.0
4,8,3,Benton,34.1667,2,2,4,4,15.0,5.0,0.0,14.1667
4,8,4,Van Horn,31.0833,2,2,4,4,15.0,5.0,-2.25,13.3333
4,8,5,Smithville,26.8333,1,3,4,4,12.5,2.5,-6.5,18.3333
4,8,6,Northeast (Kansas City),18.7857,0,4,4,4,10.0,2.5,-8.0,14.2857
4,8,7,Excelsior Springs,12.8333,0,4,4,4,10.0,0.0,-13.0,15.8333
5,1,1,Farmington,48.0,4,0,4,4,20.0,0.0,13.0,15.0
5,1,2,Fox,35.8333,2,2,4,4,15.0,5.0,0.0,15.8333
5,1,3,St. Mary's South Side,30.5833,2,2,4,4,15.0,2.5,-5.25,18.3333
5,1,4,Central (Cape Girardeau),29.0,1,3,4,4,12.5,2.5,-3.5,17.5
5,1,5,Poplar Bluff,20.9167,1,3,4,4,12.5,0.0,-5.75,14.1667
5,1,6,Mehlville,14.5,0,4,4,4,10.0,2.5,-13.0,15.0
5,2,1,Parkway West,46.3333,4,0,4,4,20.0,0.0,10.5,15.8333
5,2,2,Eureka,43.5833,3,1,4,4,17.5,2.5,6.5,17.0833
5,2,3,Parkway South,39.0,3,1,4,4,17.5,0.0,6.5,15.0
5,2,4,Webster Groves,38.7778,2,1,3,3,16.6667,3.3333,4.3333,14.4444
5,2,5,Rockwood Summit,28.5833,2,2,4,4,15.0,0.0,-2.25,15.8333
5,2,6,Washington,19.9167,0,4,4,4,10.0,0.0,-4.25,14.1667
5,2,7,Parkway Central,15.3333,0,4,4,4,10.0,2.5,-13.0,15.8333
5,3,1,Ladue Horton Watkins,50.5,4,0,4,4,20.0,0.0,13.0,17.5
5,3,2,McCluer North,40.7955,3,1,4,4,17.5,2.5,6.25,14.5455
5,3,3,Chaminade College Prep,40.0833,2,2,4,4,15.0,7.5,1.75,15.8333
5,3,4,Cardinal Ritter,32.5,1,3,4,4,12.5,5.0,-2.0,17.0
5,3,5,McCluer,24.2045,1,3,4,4,12.5,2.5,-6.25,15.4545
5,3,6,Hazelwood East,23.3636,0,4,4,4,10.0,7.5,-10.5,16.3636
5,3,7,Hazelwood Central,16.1667,0,4,4,4,10.0,5.0,-13.0,14.1667
5,4,1,Timberland,40.75,3,1,4,4,17.5,7.5,3.25,12.5
5,4,2,St. Dominic,32.5,2,2,4,4,15.0,5.0,-2.5,15.0
5,4,3,Ft. Zumwalt North,30.8333,1,3,4,4,12.5,7.5,-5.0,15.8333
5,4,4,Ft. Zumwalt East,28.0,2,2,4,4,15.0,0.0,-2.0,15.0
5,4,5,North Point,25.1667,1,3,4,4,12.5,2.5,-4.0,14.1667
5,4,6,Ft. Zumwalt South,21.0833,1,3,4,4,12.5,2.5,-7.25,13.3333
5,5,1,Helias Catholic,52.1667,4,0,4,4,20.0,2.5,13.0,16.6667
5,5,2,Camdenton,39.5455,3,1,4,4,17.5,2.5,5.0,14.5455
5,5,3,West Plains,38.9167,3,1,4,4,17.5,0.0,4.75,16.6667
5,5,4,Glendale,23.5,1,3,4,4,12.5,0.0,-6.5,17.5
5,5,5,Jefferson City,23.4167,1,3,4,4,12.5,2.5,-5.75,14.1667
5,5,6,Rolla,23.2727,1,3,4,4,12.5,0.0,-6.5,17.2727
5,5,7,Lebanon,23.25,1,3,4,4,12.5,2.5,-9.25,17.5
5,6,1,Neosho,50.5,4,0,4,4,20.0,5.0,13.0,12.5
5,6,2,Webb City,49.4167,4,0,4,4,20.0,7.5,7.75,14.1667
5,6,3,Republic,45.6667,3,1,4,4,17.5,7.5,6.5,14.1667
5,6,4,Carthage,43.1667,3,1,4,4,17.5,5.0,6.5,14.1667
5,6,5,Branson,39.25,3,1,4,4,17.5,0.0,6.75,15.0
5,6,6,Willard,23.5,1,3,4,4,12.5,7.5,-6.5,10.0
5,6,7,Parkview,14.75,0,3,3,3,10.0,0.0,-9.0,13.75
5,7,1,Grain Valley,32.4167,2,2,4,4,15.0,0.0,0.75,16.6667
5,7,2,Capital City,31.0455,1,3,4,4,12.5,7.5,-3.5,14.5455
5,7,3,Belton,29.5,2,2,4,4,15.0,0.0,-3.0,17.5
5,7,4,Grandview,28.4091,2,2,4,4,15.0,2.5,0.0,10.9091
5,7,5,Smith-Cotton,24.0833,1,3,4,4,12.5,2.5,-6.75,15.8333
5,7,6,Ruskin,18.5,1,3,4,4,12.5,0.0,-6.5,12.5
5,7,7,Battle,14.5,0,4,4,4,10.0,2.5,-13.0,15.0
5,8,1,Platte County,43.1667,3,1,4,4,17.5,2.5,9.0,14.1667
5,8,2,Raytown,43.1667,4,0,4,4,20.0,0.0,9.0,14.1667
5,8,3,Fort Osage,30.75,1,3,4,4,12.5,5.0,-1.75,15.0
5,8,4,William Chrisman,25.3333,2,2,4,4,15.0,0.0,-3.0,13.3333
5,8,5,Winnetonka,23.3333,1,3,4,4,12.5,0.0,-5.0,15.8333
5,8,6,Lincoln College Prep,21.5,1,3,4,4,12.5,0.0,-4.0,13.0
5,8,7,Truman,11.1667,0,4,4,4,10.0,0.0,-13.0,14.1667
6,1,1,Jackson,48.0,4,0,4,4,20.0,0.0,13.0,15.0
6,1,2,Northwest (Cedar Hill),41.5833,3,1,4,4,17.5,0.0,8.25,15.8333
6,1,3,Seckman,39.1667,3,1,4,4,17.5,0.0,5.0,16.6667
6,1,4,Oakville,38.3333,3,1,4,4,17.5,0.0,5.0,15.8333
6,1,5,Lindbergh,22.0833,1,3,4,4,12.5,0.0,-6.25,15.8333
6,2,1,Kirkwood,47.4444,3,0,3,3,20.0,0.0,13.0,14.4444
6,2,2,Christian Brothers College,41.0833,3,1,4,4,17.5,0.0,5.25,18.3333
